dataset,alpha,algorithm,mean,std,n,formatted
FashionMNIST,0.2,fedavg,59.70,4.29,5,59.70+/-4.29
FashionMNIST,0.2,otfusion,59.41,4.85,5,59.41+/-4.85
FashionMNIST,0.2,pfnm,64.67,3.44,5,64.67+/-3.44
FashionMNIST,0.2,regmean,72.34,3.03,5,72.34+/-3.03
FashionMNIST,0.2,dense,72.43,1.86,5,72.43+/-1.86
FashionMNIST,0.2,fisher_merge,59.78,1.27,5,59.78+/-1.27
FashionMNIST,0.2,fedfisher_diag,62.31,2.25,5,62.31+/-2.25
FashionMNIST,0.2,fedfisher_kfac,74.93,3.57,5,74.93+/-3.57
FashionMNIST,0.1,fedavg,42.74,5.51,5,42.74+/-5.51
FashionMNIST,0.1,otfusion,44.06,2.77,5,44.06+/-2.77
FashionMNIST,0.1,pfnm,57.95,4.72,5,57.95+/-4.72
FashionMNIST,0.1,regmean,58.82,2.73,5,58.82+/-2.73
FashionMNIST,0.1,dense,49.14,2.47,5,49.14+/-2.47
FashionMNIST,0.1,fisher_merge,56.47,1.98,5,56.47+/-1.98
FashionMNIST,0.1,fedfisher_diag,56.23,2.09,5,56.23+/-2.09
FashionMNIST,0.1,fedfisher_kfac,67.79,4.68,5,67.79+/-4.68
FashionMNIST,0.05,fedavg,37.37,2.11,5,37.37+/-2.11
FashionMNIST,0.05,otfusion,38.20,0.99,5,38.20+/-0.99
FashionMNIST,0.05,pfnm,43.79,4.16,5,43.79+/-4.16
FashionMNIST,0.05,regmean,54.86,4.48,5,54.86+/-4.48
FashionMNIST,0.05,dense,42.24,4.09,5,42.24+/-4.09
FashionMNIST,0.05,fisher_merge,45.50,6.30,5,45.50+/-6.30
FashionMNIST,0.05,fedfisher_diag,45.87,5.06,5,45.87+/-5.06
FashionMNIST,0.05,fedfisher_kfac,54.87,3.08,5,54.87+/-3.08
SVHN,0.2,fedavg,62.75,3.35,5,62.75+/-3.35
SVHN,0.2,otfusion,66.64,3.11,5,66.64+/-3.11
SVHN,0.2,pfnm,69.08,1.39,5,69.08+/-1.39
SVHN,0.2,regmean,72.51,2.39,5,72.51+/-2.39
SVHN,0.2,dense,75.46,4.24,5,75.46+/-4.24
SVHN,0.2,fisher_merge,66.31,6.88,5,66.31+/-6.88
SVHN,0.2,fedfisher_diag,66.95,4.00,5,66.95+/-4.00
SVHN,0.2,fedfisher_kfac,76.19,2.17,5,76.19+/-2.17
SVHN,0.1,fedavg,39.02,4.20,5,39.02+/-4.20
SVHN,0.1,otfusion,52.34,0.11,5,52.34+/-0.11
SVHN,0.1,pfnm,54.72,3.44,5,54.72+/-3.44
SVHN,0.1,regmean,66.02,2.49,5,66.02+/-2.49
SVHN,0.1,dense,55.45,1.57,5,55.45+/-1.57
SVHN,0.1,fisher_merge,61.10,4.93,5,61.10+/-4.93
SVHN,0.1,fedfisher_diag,58.72,6.13,5,58.72+/-6.13
SVHN,0.1,fedfisher_kfac,69.26,2.40,5,69.26+/-2.40
SVHN,0.05,fedavg,27.26,0.53,5,27.26+/-0.53
SVHN,0.05,otfusion,38.20,1.38,5,38.20+/-1.38
SVHN,0.05,pfnm,46.32,5.61,5,46.32+/-5.61
SVHN,0.05,regmean,57.40,3.83,5,57.40+/-3.83
SVHN,0.05,dense,49.36,2.46,5,49.36+/-2.46
SVHN,0.05,fisher_merge,51.11,3.86,5,51.11+/-3.86
SVHN,0.05,fedfisher_diag,48.28,2.39,5,48.28+/-2.39
SVHN,0.05,fedfisher_kfac,58.46,2.25,5,58.46+/-2.25
CIFAR10,0.2,fedavg,41.61,1.69,5,41.61+/-1.69
CIFAR10,0.2,otfusion,41.18,1.46,5,41.18+/-1.46
CIFAR10,0.2,pfnm,43.06,1.78,5,43.06+/-1.78
CIFAR10,0.2,regmean,43.82,2.48,5,43.82+/-2.48
CIFAR10,0.2,dense,44.34,1.59,5,44.34+/-1.59
CIFAR10,0.2,fisher_merge,41.03,4.07,5,41.03+/-4.07
CIFAR10,0.2,fedfisher_diag,44.20,2.44,5,44.20+/-2.44
CIFAR10,0.2,fedfisher_kfac,53.16,1.55,5,53.16+/-1.55
CIFAR10,0.1,fedavg,36.81,2.14,5,36.81+/-2.14
CIFAR10,0.1,otfusion,39.51,1.02,5,39.51+/-1.02
CIFAR10,0.1,pfnm,38.87,2.36,5,38.87+/-2.36
CIFAR10,0.1,regmean,38.19,1.64,5,38.19+/-1.64
CIFAR10,0.1,dense,37.75,1.93,5,37.75+/-1.93
CIFAR10,0.1,fisher_merge,35.83,2.84,5,35.83+/-2.84
CIFAR10,0.1,fedfisher_diag,37.97,2.49,5,37.97+/-2.49
CIFAR10,0.1,fedfisher_kfac,48.25,0.92,5,48.25+/-0.92
CIFAR10,0.05,fedavg,29.89,1.71,5,29.89+/-1.71
CIFAR10,0.05,otfusion,29.16,2.36,5,29.16+/-2.36
CIFAR10,0.05,pfnm,32.47,3.33,5,32.47+/-3.33
CIFAR10,0.05,regmean,35.05,1.89,5,35.05+/-1.89
CIFAR10,0.05,dense,32.41,2.26,5,32.41+/-2.26
CIFAR10,0.05,fisher_merge,29.76,4.67,5,29.76+/-4.67
CIFAR10,0.05,fedfisher_diag,33.04,3.09,5,33.04+/-3.09
CIFAR10,0.05,fedfisher_kfac,40.66,2.56,5,40.66+/-2.56
CINIC10,0.2,fedavg,36.40,0.85,5,36.40+/-0.85
CINIC10,0.2,otfusion,36.36,0.28,5,36.36+/-0.28
CINIC10,0.2,pfnm,38.18,2.47,5,38.18+/-2.47
CINIC10,0.2,regmean,37.50,0.40,5,37.50+/-0.40
CINIC10,0.2,dense,37.19,1.17,5,37.19+/-1.17
CINIC10,0.2,fisher_merge,36.11,2.85,5,36.11+/-2.85
CINIC10,0.2,fedfisher_diag,38.08,1.66,5,38.08+/-1.66
CINIC10,0.2,fedfisher_kfac,42.13,1.12,5,42.13+/-1.12
CINIC10,0.1,fedavg,33.12,2.02,5,33.12+/-2.02
CINIC10,0.1,otfusion,36.38,1.62,5,36.38+/-1.62
CINIC10,0.1,pfnm,36.07,1.63,5,36.07+/-1.63
CINIC10,0.1,regmean,33.20,1.42,5,33.20+/-1.42
CINIC10,0.1,dense,33.27,2.00,5,33.27+/-2.00
CINIC10,0.1,fisher_merge,33.06,2.47,5,33.06+/-2.47
CINIC10,0.1,fedfisher_diag,35.38,1.79,5,35.38+/-1.79
CINIC10,0.1,fedfisher_kfac,39.72,1.33,5,39.72+/-1.33
CINIC10,0.05,fedavg,27.81,1.05,5,27.81+/-1.05
CINIC10,0.05,otfusion,26.56,0.34,5,26.56+/-0.34
CINIC10,0.05,pfnm,28.89,1.22,5,28.89+/-1.22
CINIC10,0.05,regmean,30.53,0.96,5,30.53+/-0.96
CINIC10,0.05,dense,26.95,2.40,5,26.95+/-2.40
CINIC10,0.05,fisher_merge,29.34,1.01,5,29.34+/-1.01
CINIC10,0.05,fedfisher_diag,30.68,1.55,5,30.68+/-1.55
CINIC10,0.05,fedfisher_kfac,33.50,1.69,5,33.50+/-1.69
